utilization_gpu,gpu_temp,power_draw_w,gpu_mem_used,job_type_training,throttling,good_placement
34,55,132,21232,0,0,1
19,47,136,19733,1,0,1
17,50,134,15564,1,0,1
11,43,131,10243,0,0,1
77,76,219,22148,1,0,0
89,70,227,4465,1,0,1
49,73,182,20003,0,0,1
99,86,267,9295,0,0,1
75,72,209,21077,0,0,1
69,76,229,21717,1,0,0
24,47,149,7825,0,0,1
53,66,166,11006,1,0,1
27,53,138,17053,0,0,1
60,61,211,15495,1,0,1
40,58,182,6940,1,0,1
96,76,261,12365,1,0,0
45,57,174,21979,1,0,1
21,47,121,20518,0,0,1
44,71,190,8076,1,0,1
86,83,227,23558,0,0,0
90,77,238,8118,0,0,1
22,45,113,2506,0,0,1
81,75,254,5798,1,0,1
49,68,183,23989,0,0,0
6,43,85,17659,1,0,1
53,70,203,14324,0,0,1
4,38,111,7539,1,0,1
65,78,192,7680,0,0,1
85,87,228,4739,1,0,0
45,68,155,16746,0,0,1
12,39,114,7214,1,0,1
17,46,128,11991,1,0,1
26,47,122,23177,0,0,0
92,85,265,6293,0,0,1
68,72,221,13425,0,0,1
76,72,219,10302,0,0,1
37,55,152,13034,0,0,1
9,48,92,19461,0,0,1
7,50,102,7747,1,0,1
82,73,246,2304,1,0,1
28,47,131,22056,0,0,0
69,66,222,14964,1,0,1
98,80,254,23298,0,0,0
98,84,270,6721,0,0,1
44,68,154,21195,1,0,1
22,57,135,4618,0,0,1
6,38,95,5102,1,0,1
70,82,221,22151,1,0,0
90,89,262,12286,1,0,0
70,78,210,23814,1,0,0
44,55,170,6663,0,0,1
11,41,90,4568,0,0,1
7,44,116,14427,0,0,1
81,74,243,18377,0,0,1
98,92,278,6576,1,0,0
88,81,246,3672,1,0,0
16,44,110,18909,0,0,1
82,67,247,22456,1,0,0
54,58,182,6489,1,0,1
79,79,232,3105,0,0,1
68,64,206,15463,0,0,1
80,82,234,6719,0,0,1
75,76,248,17689,0,0,1
28,51,131,4416,0,0,1
39,62,188,9273,0,0,1
89,78,243,9587,0,0,1
71,80,212,18269,0,0,1
90,74,241,3565,1,0,1
33,62,158,23867,1,0,0
46,71,196,3132,0,0,1
21,54,111,16114,1,0,1
49,71,200,10507,0,0,1
56,59,195,19179,0,0,1
76,83,252,23354,1,0,0
87,88,225,8369,1,0,0
16,51,144,12365,0,0,1
8,49,111,23271,0,0,0
61,68,204,22918,1,0,0
34,54,143,21470,0,0,1
64,71,195,3934,1,0,1
3,53,113,15091,1,0,1
94,74,273,23325,1,0,0
55,68,184,14680,0,0,1
51,74,200,8054,1,0,1
7,55,122,12359,0,0,1
63,66,190,16060,1,0,1
0,49,75,21595,1,0,1
1,48,118,14814,1,0,1
94,88,264,5495,1,0,0
66,62,195,19438,0,0,1
18,59,145,7164,1,0,1
77,71,212,18940,0,0,1
50,67,162,15803,0,0,1
87,75,263,8997,0,0,1
10,55,115,13347,0,0,1
4,44,107,2921,1,0,1
63,71,226,15690,0,0,1
89,77,236,2013,0,0,1
69,75,239,6980,1,0,1
23,48,121,4169,0,0,1
8,56,125,21398,0,0,1
46,72,164,6908,1,0,1
0,36,100,14165,0,0,1
81,71,231,11802,1,0,1
60,72,201,20517,1,0,1
55,69,185,1856,0,0,1
57,69,173,19149,1,0,1
5,46,106,5979,1,0,1
90,83,230,17625,0,0,1
58,75,193,12751,0,0,1
90,88,274,17066,0,0,1
73,75,241,10788,0,0,1
43,53,155,10910,0,0,1
89,79,258,5181,1,0,0
7,44,87,23398,1,0,0
9,50,123,2728,0,0,1
6,38,99,17022,1,0,1
0,43,118,8783,0,0,1
58,58,169,6485,1,0,1
1,43,93,17794,1,0,1
87,72,248,3602,1,0,1
6,54,93,14209,1,0,1
73,78,229,14742,1,0,0
92,80,266,16927,0,0,1
66,66,188,6405,1,0,1
55,75,183,13180,1,0,1
40,52,138,18745,0,0,1
56,65,198,17000,0,0,1
13,51,138,10388,1,0,1
52,60,193,12532,0,0,1
8,57,138,21960,0,0,1
60,62,218,8953,0,0,1
9,45,103,1237,0,0,1
64,69,224,4067,0,0,1
4,36,86,16950,1,0,1
66,61,188,10904,0,0,1
46,59,170,11304,0,0,1
57,64,174,13269,0,0,1
20,59,156,23392,1,0,0
91,73,225,21552,0,0,1
58,62,180,10306,0,0,1
64,66,180,14361,0,0,1
84,82,223,3942,1,0,0
50,71,170,23356,1,0,0
48,64,169,1461,0,0,1
42,57,190,16443,1,0,1
93,83,264,11742,0,0,1
66,68,225,23850,0,0,0
49,54,181,4908,1,0,1
48,73,167,18249,0,0,1
13,44,103,1834,0,0,1
8,39,96,14121,1,0,1
53,70,204,17920,1,0,1
30,63,145,1961,1,0,1
99,90,261,3079,0,0,1
86,82,268,3074,1,0,0
99,80,247,12182,0,0,1
92,73,234,16804,1,0,1
57,62,203,12065,0,0,1
90,77,264,9811,1,0,0
69,66,200,17059,1,0,1
90,84,230,13811,1,0,0
19,55,125,6232,0,0,1
29,61,149,15789,1,0,1
81,78,248,4001,1,0,0
42,60,144,4391,1,0,1
68,62,220,15956,0,0,1
72,70,193,16643,1,0,1
99,91,270,9656,1,0,0
27,46,122,14882,0,0,1
11,49,124,16699,0,0,1
67,77,207,20622,1,0,0
5,41,104,21139,0,0,1
79,80,256,12636,1,0,0
62,75,210,16376,0,0,1
50,72,210,5953,0,0,1
32,49,160,11239,0,0,1
98,92,256,6985,0,0,1
59,63,174,14710,1,0,1
8,46,128,12790,1,0,1
44,58,173,17498,1,0,1
42,59,145,11215,1,0,1
81,77,231,12088,1,0,0
58,60,215,17789,1,0,1
57,61,206,19898,1,0,1
26,61,124,6259,1,0,1
11,42,130,15383,0,0,1
4,45,86,11288,0,0,1
43,71,156,13300,1,0,1
72,66,224,22103,1,0,0
45,53,176,18863,0,0,1
31,56,165,20377,0,0,1
78,70,207,20423,0,0,1
84,68,259,5661,0,0,1
70,68,237,4003,1,0,1
76,84,221,17212,1,0,0
16,55,139,23219,0,0,0
84,73,241,3996,1,0,1
73,74,216,15012,1,0,1
80,68,236,9090,1,0,1
17,41,105,5672,0,0,1
40,61,152,17419,1,0,1
58,65,204,4428,1,0,1
95,75,244,21432,1,0,1
14,59,111,9920,0,0,1
33,65,151,19831,0,0,1
49,67,200,8411,1,0,1
62,62,201,7326,0,0,1
34,57,133,10383,0,0,1
59,73,189,12802,1,0,1
11,49,101,1530,0,0,1
1,36,94,16430,0,0,1
56,59,171,17564,0,0,1
22,43,104,14994,0,0,1
9,54,113,11455,0,0,1
45,70,167,20816,1,0,1
46,55,187,16714,1,0,1
80,72,207,16408,0,0,1
20,52,108,16798,0,0,1
8,49,126,17194,1,0,1
30,62,152,7466,0,0,1
67,61,182,21754,0,0,1
42,56,181,11614,0,0,1
48,69,182,23395,1,0,0
39,56,175,17263,0,0,1
93,87,260,13533,1,0,0
23,50,140,9861,0,0,1
82,80,246,21882,1,0,0
33,54,143,3267,0,0,1
22,62,151,14646,0,0,1
57,68,190,11777,0,0,1
80,73,239,17266,1,0,1
63,69,188,3589,1,0,1
63,64,206,18291,0,0,1
89,72,252,10946,0,0,1
64,67,226,5947,1,0,1
87,87,225,16025,0,0,1
66,67,222,2530,1,0,1
50,57,192,2723,1,0,1
95,75,259,10730,1,0,1
30,54,149,23683,0,0,0
12,56,133,13632,0,0,1
72,76,245,1920,0,0,1
63,70,181,5312,1,0,1
28,52,167,17336,0,0,1
72,71,235,22748,1,0,0
31,47,161,5234,1,0,1
41,52,154,4810,1,0,1
0,51,89,8713,0,0,1
39,57,147,22701,1,0,0
57,70,176,18346,0,0,1
93,88,249,12096,1,0,0
55,65,194,18167,0,0,1
16,51,100,11962,0,0,1
66,74,208,10323,0,0,1
12,47,97,7216,1,0,1
19,51,109,4756,0,0,1
2,54,116,19553,1,0,1
27,64,164,23111,1,0,0
80,72,249,22527,1,0,0
57,59,187,13622,1,0,1
58,67,189,4949,1,0,1
37,66,145,2245,0,0,1
77,66,210,19797,0,0,1
91,76,258,15624,0,0,1
8,56,93,9674,0,0,1
92,71,234,22585,0,0,0
3,48,118,21909,0,0,1
60,73,191,3378,0,0,1
88,82,228,12049,0,0,1
3,49,79,18005,1,0,1
39,50,146,17528,0,0,1
46,67,159,11871,1,0,1
81,83,231,2237,0,0,1
24,60,165,11054,0,0,1
38,56,179,13512,0,0,1
42,52,142,23061,0,0,0
32,60,152,1035,1,0,1
31,54,150,15577,1,0,1
34,53,135,2637,1,0,1
97,73,271,12543,1,0,1
40,56,180,12096,1,0,1
33,64,152,22673,1,0,0
17,57,141,4871,0,0,1
64,79,186,11585,0,0,1
16,59,148,5703,0,0,1
17,53,114,2196,0,0,1
61,76,196,9517,0,0,1
66,63,226,20441,0,0,1
18,53,130,15006,1,0,1
67,64,197,1646,0,0,1
72,77,232,21379,0,0,1
74,82,209,12502,0,0,1
73,76,229,23158,0,0,0
26,51,118,12742,1,0,1
19,53,141,23501,0,0,0
69,62,206,22693,0,0,0
74,80,244,5581,1,0,0
98,92,270,4850,1,0,0
74,74,238,1646,0,0,1
83,69,257,2376,1,0,1
22,43,153,9458,0,0,1
33,64,135,15029,1,0,1
10,48,108,19492,0,0,1
19,53,140,9766,1,0,1
36,57,155,20518,1,0,1
79,85,233,11137,1,0,0
21,62,112,16599,0,0,1
3,42,104,3460,0,0,1
48,64,172,7190,1,0,1
62,76,229,20446,1,0,0
80,80,250,18254,0,0,1
43,52,162,6205,0,0,1
100,90,258,1148,0,0,1
84,84,252,9315,1,0,0
99,79,282,14656,1,0,0
71,70,230,1924,0,0,1
10,56,126,15547,0,0,1
49,60,191,23191,1,0,0
77,72,244,11705,1,0,1
56,71,171,15525,1,0,1
22,47,129,10300,1,0,1
75,78,220,22481,1,0,0
27,48,138,12192,0,0,1
72,69,224,14411,0,0,1
34,62,159,2732,0,0,1
12,51,142,23634,0,0,0
75,75,230,2693,1,0,1
21,47,122,10564,1,0,1
98,81,246,21918,1,0,0
59,64,217,2060,1,0,1
55,69,205,6650,1,0,1
88,73,226,4490,1,0,1
32,59,128,14723,0,0,1
18,49,118,19115,1,0,1
83,74,233,9621,1,0,1
27,46,129,11723,0,0,1
39,54,156,21576,0,0,1
78,84,238,20644,0,0,1
77,81,247,16369,1,0,0
60,68,192,3631,1,0,1
97,74,266,1190,0,0,1
78,74,225,13560,1,0,1
93,72,262,6040,1,0,1
95,85,258,5010,1,0,0
51,67,198,9494,0,0,1
100,83,283,16302,0,0,1
33,53,141,1851,1,0,1
72,68,227,3417,0,0,1
17,45,118,13567,0,0,1
7,45,102,7230,0,0,1
70,63,205,13331,0,0,1
16,42,116,13672,1,0,1
88,82,261,21287,1,0,0
78,75,228,22117,1,0,0
81,75,258,2504,0,0,1
60,76,222,2411,0,0,1
11,51,130,1881,0,0,1
14,47,100,5471,1,0,1
58,66,197,4892,0,0,1
50,63,177,22793,0,0,0
31,55,137,5130,0,0,1
32,60,146,5574,1,0,1
9,55,118,4644,1,0,1
77,74,221,17939,0,0,1
77,83,230,15479,1,0,0
59,73,202,17403,1,0,1
6,41,115,16045,1,0,1
17,49,112,23881,1,0,0
75,79,204,11225,1,0,0
35,60,147,15662,0,0,1
92,89,234,12815,0,0,1
61,70,220,17303,1,0,1
83,77,223,15590,1,0,0
92,86,279,4273,0,0,1
69,71,226,11726,0,0,1
39,50,154,3879,0,0,1
19,58,126,3078,0,0,1
84,71,252,4907,1,0,1
7,48,124,3774,1,0,1
34,57,166,21467,1,0,1
66,73,216,13699,0,0,1
54,60,172,15197,0,0,1
83,70,226,21487,0,0,1
98,76,237,10509,1,0,0
95,78,269,17908,0,0,1
37,49,162,3950,0,0,1
66,72,208,20013,0,0,1
64,76,214,16529,1,0,0
17,47,130,19114,0,0,1
27,60,144,14239,1,0,1
72,65,202,5466,0,0,1
26,58,120,21592,1,0,1
44,67,159,23583,0,0,0
66,69,226,11407,1,0,1
59,60,211,5227,1,0,1
94,78,261,4285,0,0,1
58,58,181,17311,1,0,1
61,65,184,17573,1,0,1
8,46,87,21689,1,0,1
33,56,139,14983,1,0,1
53,68,168,16883,1,0,1
50,55,178,22932,0,0,0
76,72,212,13947,0,0,1
10,45,94,22355,0,0,0
1,42,79,6968,0,0,1
80,70,254,13401,0,0,1
38,55,171,16700,0,0,1
16,59,124,6235,0,0,1
90,83,259,23122,1,0,0
49,69,174,2477,1,0,1
24,61,159,10646,1,0,1
48,62,198,16637,1,0,1
37,63,138,16500,0,0,1
44,62,165,10657,0,0,1
15,45,131,10912,0,0,1
53,64,191,20345,0,0,1
74,64,222,11502,0,0,1
3,48,110,12114,0,0,1
48,66,165,10924,1,0,1
77,70,204,16915,1,0,1
85,70,213,3517,1,0,1
47,62,192,22701,0,0,0
87,72,228,16045,1,0,1
89,78,238,5932,0,0,1
12,43,92,12751,0,0,1
14,43,95,17098,1,0,1
27,52,150,10355,1,0,1
13,52,144,5903,1,0,1
11,42,89,2782,1,0,1
1,48,93,18363,0,0,1
20,51,129,7526,1,0,1
53,58,160,5624,0,0,1
30,57,165,13246,0,0,1
39,61,175,12982,0,0,1
62,60,180,16302,0,0,1
98,90,267,21386,0,0,1
